ITS_ID	Plant	Plant_Genus	Plant_sci	Plant_species	Location	Symptom_condition	Neighbor	LSU_code	Longitude	Latitude	MycoID
SD99	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Greensboro	Symptom	Symptom	SA_011	-84.719055	30.542625	No
SD100	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Greensboro	Symptom	Symptom	SA_012	-84.719055	30.542625	No
SD101	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Greensboro	Symptom	Symptom	SA_013	-84.719055	30.542625	No
SD102	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Greensboro	No_Symptom	wSym	SA_014	-84.719055	30.542625	No
SD103	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Greensboro	No_Symptom	wSym	SA_015	-84.719055	30.542625	No
SD104	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Greensboro	No_Symptom	wSym	SA_016	-84.719055	30.542625	No
SD105	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Greensboro	Symptom	Symptom	SA_017	-84.719055	30.542625	No
SD106	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Greensboro	Symptom	Symptom	SA_018	-84.719055	30.542625	No
SD107	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Greensboro	Symptom	Symptom	SA_019	-84.719055	30.542625	No
SD108	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Greensboro	No_Symptom	wSym	SA_020	-84.719055	30.542625	No
SD109	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Greensboro	No_Symptom	wSym	SA_021	-84.719055	30.542625	No
SD110	Small_smutgrass	Sporobolus	Sporobolus_indicus	Sporobolus_indicus	Greensboro	Symptom	Symptom	SA_022	-84.719055	30.542625	No
SD111	Small_smutgrass	Sporobolus	Sporobolus_indicus	Sporobolus_indicus	Greensboro	Symptom	Symptom	SA_023	-84.719055	30.542625	No
SD112	Small_smutgrass	Sporobolus	Sporobolus_indicus	Sporobolus_indicus	Greensboro	Symptom	Symptom	SA_024	-84.719055	30.542625	No
SD113	Small_smutgrass	Sporobolus	Sporobolus_indicus	Sporobolus_indicus	Greensboro	No_Symptom	wSym	SA_025	-84.719055	30.542625	No
SD114	Small_smutgrass	Sporobolus	Sporobolus_indicus	Sporobolus_indicus	Greensboro	No_Symptom	wSym	SA_026	-84.719055	30.542625	No
SD115	Small_smutgrass	Sporobolus	Sporobolus_indicus	Sporobolus_indicus	Greensboro	No_Symptom	wSym	SA_027	-84.719055	30.542625	No
SD116	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	Tampa	No_Symptom	No_Symptom	SA_028	-82.539957	27.94897	m1
SD117	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	Tampa	No_Symptom	No_Symptom	SA_029	-82.539957	27.94897	m1
SD118	Giant_smutgrass	Sporobolus	Sporobolus_indicus_var_pyramidalis	Sporobolus_indicus	Tampa	No_Symptom	No_Symptom	SA_030	-82.539957	27.94897	m1
SD119	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Tampa	No_Symptom	No_Symptom	SA_031	-82.539957	27.94897	m3
SD120	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Tampa	No_Symptom	No_Symptom	SA_032	-82.539957	27.94897	m3
SD121	Pensacola_Bahiagrass	Paspalum	Paspalum_notatum_2x	Paspalum_notatum	Tampa	No_Symptom	No_Symptom	SA_033	-82.539957	27.94897	m3
SD122	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Tampa	No_Symptom	No_Symptom	SA_034	-82.539957	27.94897	m4
SD123	Argentine_Bahiagrass	Paspalum	Paspalum_notatum_4x	Paspalum_notatum	Tampa	No_Symptom	No_Symptom	SA_035	-82.539957	27.94897	m4
SD124	Brunswickgrass	Paspalum	Paspalum_nicorae	Paspalum_nicorae	Tampa	No_Symptom	No_Symptom	SA_036	-82.539957	27.94897	m5
